spcabond,1
spcaship,1
spcabird,1
spcawolf,1
spcalion,1
spcatree,1
spcarose,1
spcawind,1
spcastar,1
spcamoon,1
spcalake,1
spcahill,1
spcarock,1
spcaleaf,1
spcasnow,1
spcarain,1
spcawave,1
spcafire,1
spcadawn,1
spcadusk,1
spcapine,1
spcafern,1
spcafish,1
spcabear,1
spcadeer,1
spcaduck,1
spcahawk,1
spcacrab,1
spcaseal,1
spcamint,1
spcbbond,2
spcbship,2
spcbbird,2
spcbwolf,1
spcblion,2
spcbtree,2
spcbrose,1
spcbwind,1
spcbstar,2
spcbmoon,2
spcblake,2
spcbhill,2
spcbrock,2
spcbleaf,2
spcbsnow,2
spcbrain,2
spcbwave,1
spcbfire,2
spcbdawn,1
spcbdusk,2
spcbpine,1
spcbfern,2
spcbfish,1
spcbbear,2
spcbdeer,2
spcbduck,1
spcbhawk,1
spcbcrab,2
spcbseal,1
spcbmint,2
redabond,3
redaship,3
redabird,3
redawolf,3
redalion,3
redatree,3
redarose,3
redawind,3
redastar,3
redamoon,3
redalake,3
redahill,3
redbbond,3
redbship,3
redbbird,3
redbwolf,3
redblion,3
redbtree,3
redbrose,3
redbwind,3
redbstar,3
redbmoon,3
redblake,3
redbhill,3
redbrock,3
redbleaf,3
redbsnow,3
redbrain,3
redbwave,3
redbfire,3
bluabond,3
bluaship,3
bluabird,3
bluawolf,3
blualion,3
bluatree,3
bluarose,4
bluawind,4
bluastar,4
bluamoon,4
blualake,3
bluahill,3
bluarock,3
blualeaf,3
blubbond,4
blubship,4
blubbird,4
blubwolf,4
blublion,4
blubtree,4
blubrose,4
blubwind,4
blubstar,4
blubmoon,4
blublake,4
blubhill,4
blubrock,4
blubleaf,4
blubsnow,4
blubrain,4
blubwave,4
blubfire,4
blubdawn,4
blubdusk,4
blubpine,4
grnabond,4
grnaship,4
grnabird,4
grnawolf,4
grnalion,4
grnatree,4
grnarose,4
grnawind,4
grnastar,4
grnamoon,4
grnalake,4
grnahill,4
grnarock,4
grnaleaf,4
grnasnow,4
grnbbond,2
grnbship,2
grnbbird,2
grnbwolf,2
grnblion,2
grnbtree,2
grnbrose,2
grnbwind,2
grnbstar,2
grnbmoon,2
grnblake,2
grnbhill,2
grnbrock,2
grnbleaf,2
grnbsnow,2
grnbrain,2
grnbwave,2
grnbfire,2
grnbdawn,2
grnbdusk,2
